fighter_name,height,weight_lbs,reach_inches,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,age
Francisco Trevino,69.0,155.0,70.0,2.65,42,2.42,64,0.97,22,41,0.0,44.720054757015745
Michael Trizano,71.0,145.0,71.0,3.63,53,4.4,50,0.36,66,72,0.5,34.68309377138946
Damien Trites,71.0,165.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,47.03901437371663
Frank Trigg,69.0,170.0,71.0,2.79,46,1.9,56,2.35,47,75,0.8,54.332648870636554
Aaron Trujillo,65.0,125.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Reynaldo Trujillo,69.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,44.67898699520876
Francisco Trinaldo,69.0,170.0,70.0,3.13,45,2.67,60,0.98,42,60,0.5,48.035592060232716
Alexander Trujillo,70.0,125.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,25.930184804928132
Tor Troeng,74.0,185.0,72.0,1.16,46,3.26,32,0.62,7,66,0.3,43.61396303901437
Antonio Trocoli,77.0,185.0,80.0,1.27,47,5.3,26,0.88,9,42,0.4,35.75085557837098
Abel Trujillo,68.0,155.0,70.0,2.65,41,2.31,59,2.18,45,40,0.4,42.9678302532512
Rei Tsuruya,66.0,125.0,68.0,2.4,53,1.91,43,5.03,37,50,2.0,24.20807665982204
Magomed Tuchalov,75.0,205.0,78.0,2.33,43,2.6,66,8.0,57,100,1.0,26.68583162217659
Arman Tsarukyan,67.0,155.0,72.0,3.85,50,1.8,54,3.26,37,75,0.1,29.90280629705681
Chris Tuchscherer,74.0,258.0,76.0,1.35,31,3.17,47,1.19,18,0,0.6,50.99520876112252
Jon Tuck,71.0,155.0,73.0,3.0,40,3.74,60,0.42,33,50,1.0,42.02327173169062
Gavin Tucker,66.0,145.0,66.0,4.29,44,4.18,57,3.13,44,53,1.5,40.2217659137577
Tom Tuggle,74.0,250.0,72.0,0.0,0,2.14,0,32.14,100,0,0.0,39.59753593429158
Blair Tugman,72.0,135.0,72.0,2.25,53,0.93,50,7.5,60,0,0.0,39.59753593429158
Nyamjargal Tumendemberel,67.0,125.0,71.0,2.72,42,2.47,53,3.37,50,56,2.1,28.459958932238195
Ricky Turcios,69.0,145.0,71.0,4.68,39,3.84,51,0.85,17,44,0.3,33.2539356605065
Tai Tuivasa,74.0,264.0,75.0,3.37,48,4.61,42,0.0,0,58,0.0,33.4757015742642
